Jurisdiction of Occurrence,MMWR Year,MMWR Week,"covid19_u071_underlying"
United States,2020,1,0
United States,2020,2,1
United States,2020,3,1
United States,2020,4,1
United States,2020,5,0
United States,2020,6,3
United States,2020,7,2
United States,2020,8,6
United States,2020,9,9
United States,2020,10,34
United States,2020,11,55
United States,2020,12,550
United States,2020,13,3035
United States,2020,14,9632
United States,2020,15,15513
United States,2020,16,16296
United States,2020,17,14654
United States,2020,18,12432
United States,2020,19,10458
United States,2020,20,8496
United States,2020,21,6593
United States,2020,22,5593
United States,2020,23,4518
United States,2020,24,3729
United States,2020,25,3347
United States,2020,26,3332
United States,2020,27,4048
United States,2020,28,5236
United States,2020,29,6530
United States,2020,30,7519
United States,2020,31,7612
United States,2020,32,7182
United States,2020,33,6560
United States,2020,34,5748
United States,2020,35,5151
United States,2020,36,4434
United States,2020,37,4077
United States,2020,38,3763
United States,2020,39,3793
United States,2020,40,3698
United States,2020,41,4278
United States,2020,42,4591
United States,2020,43,5328
United States,2020,44,6257
United States,2020,45,7844
United States,2020,46,9581
United States,2020,47,12070
United States,2020,48,14134
United States,2020,49,16855
United States,2020,50,19068
United States,2020,51,20426
United States,2020,52,21366
United States,2020,53,22750
United States,2021,1,23932
United States,2021,2,23516
United States,2021,3,21654
United States,2021,4,18411
United States,2021,5,15250
United States,2021,6,12010
United States,2021,7,9497
United States,2021,8,7520
United States,2021,9,5777
United States,2021,10,4790
United States,2021,11,4095
United States,2021,12,3768
United States,2021,13,3533
United States,2021,14,3648
United States,2021,15,3765
United States,2021,16,3928
United States,2021,17,3592
United States,2021,18,3436
United States,2021,19,3167
United States,2021,20,2749
United States,2021,21,2305
United States,2021,22,1995
United States,2021,23,1677
United States,2021,24,1430
United States,2021,25,1315
United States,2021,26,1233
United States,2021,27,1347
United States,2021,28,1693
United States,2021,29,2417
United States,2021,30,3725
United States,2021,31,5932
United States,2021,32,8751
United States,2021,33,11346
United States,2021,34,13267
United States,2021,35,14520
United States,2021,36,14439
United States,2021,37,14142
