Jurisdiction of Occurrence,MMWR Year,MMWR Week,covid19_u071_multi,covid19_u071_underlying
United States,2020,1,0,0
United States,2020,2,1,1
United States,2020,3,2,1
United States,2020,4,2,1
United States,2020,5,0,0
United States,2020,6,2,1
United States,2020,7,2,0
United States,2020,8,6,6
United States,2020,9,9,9
United States,2020,10,37,33
United States,2020,11,60,55
United States,2020,12,588,550
United States,2020,13,3214,3034
United States,2020,14,10127,9625
United States,2020,15,16317,15502
United States,2020,16,17200,16291
United States,2020,17,15550,14653
United States,2020,18,13215,12430
United States,2020,19,11231,10454
United States,2020,20,9234,8490
United States,2020,21,7248,6593
United States,2020,22,6170,5591
United States,2020,23,5056,4516
United States,2020,24,4230,3727
United States,2020,25,3847,3344
United States,2020,26,3841,3329
United States,2020,27,4551,4044
United States,2020,28,5785,5236
United States,2020,29,7192,6528
United States,2020,30,8242,7516
United States,2020,31,8302,7609
United States,2020,32,7867,7179
United States,2020,33,7261,6557
United States,2020,34,6383,5745
United States,2020,35,5747,5147
United States,2020,36,5015,4429
United States,2020,37,4626,4076
United States,2020,38,4276,3762
United States,2020,39,4299,3791
United States,2020,40,4241,3695
United States,2020,41,4817,4273
United States,2020,42,5198,4590
United States,2020,43,5995,5328
United States,2020,44,7022,6256
United States,2020,45,8756,7838
United States,2020,46,10647,9579
United States,2020,47,13356,12065
United States,2020,48,15619,14128
United States,2020,49,18560,16850
United States,2020,50,20921,19062
United States,2020,51,22323,20418
United States,2020,52,23361,21343
United States,2020,53,24830,22699
United States,2021,1,25959,23875
United States,2021,2,25677,23465
United States,2021,3,23641,21578
United States,2021,4,20279,18341
United States,2021,5,16976,15184
United States,2021,6,13473,11955
United States,2021,7,10792,9471
United States,2021,8,8622,7483
United States,2021,9,6696,5747
United States,2021,10,5689,4765
United States,2021,11,4876,4074
United States,2021,12,4436,3752
United States,2021,13,4171,3497
United States,2021,14,4280,3616
United States,2021,15,4421,3746
United States,2021,16,4556,3897
United States,2021,17,4134,3562
United States,2021,18,3955,3391
United States,2021,19,3642,3132
United States,2021,20,3192,2709
United States,2021,21,2739,2280
United States,2021,22,2319,1971
United States,2021,23,2014,1657
United States,2021,24,1746,1407
United States,2021,25,1600,1293
United States,2021,26,1503,1205
United States,2021,27,1604,1317
United States,2021,28,1934,1659
United States,2021,29,2686,2354
United States,2021,30,3971,3609
United States,2021,31,6234,5707
United States,2021,32,8958,8385
United States,2021,33,11537,10802
United States,2021,34,13181,12391
United States,2021,35,13814,12989
United States,2021,36,12828,12047
United States,2021,37,10937,10211
United States,2021,38,7142,6681
Alabama,2020,1,0,0
Alabama,2020,2,0,0
Alabama,2020,3,0,0
Alabama,2020,4,,0
Alabama,2020,5,0,0
Alabama,2020,6,0,0
Alabama,2020,7,0,0
Alabama,2020,8,0,0
Alabama,2020,9,,
Alabama,2020,10,0,0
Alabama,2020,11,0,0
