state,year,pop_0_24,pop_25_44,pop_45_64,pop_65_74,pop_75_84,pop_85,pop_total
United States,2022,103851869,88749478,83870189,33007092,16682881,6752047,332913555
Alabama,2022,1577150,1275530,1302087,533322,271616,95658,5055363
Alaska,2022,246482,209442,179999,66249,25174,7578,734924
Arizona,2022,2308188,1906298,1729351,775944,428913,149979,7298674
Arkansas,2022,980237,770607,746279,311508,165252,61305,3035189
California,2022,12374197,11280954,9704774,3482498,1756783,759196,39358402
Colorado,2022,1783006,1735307,1426399,548837,244169,92210,5829928
Connecticut,2022,1074059,892845,991662,370586,195252,92273,3616676
Delaware,2022,293057,249011,262168,121242,59902,21088,1006467
District of Columbia,2022,190218,260849,135896,48867,24630,11649,672109
Florida,2022,6022272,5469853,5678947,2560870,1514805,601309,21848055
Georgia,2022,3553305,2918402,2758928,975985,467829,158301,10832750
Hawaii,2022,421142,372341,360399,164279,83069,44754,1445982
Idaho,2022,646067,495099,445610,194446,93737,31805,1906764
Illinois,2022,3947440,3407228,3241489,1226248,617948,270051,12710405
Indiana,2022,2246895,1749778,1702587,666180,328814,132644,6826898
Iowa,2022,1052704,798365,778321,327555,166834,79111,3202890
Kansas,2022,997691,746930,701789,287590,142922,66677,2943599
Kentucky,2022,1427603,1148401,1165519,468895,229225,83607,4523250
Louisiana,2022,1495629,1239063,1138351,459159,222626,83426,4638255
Maine,2022,361114,326899,388643,178968,86524,34315,1376464
Maryland,2022,1897637,1637543,1634672,594252,296158,123811,6184073
Massachusetts,2022,2059083,1883778,1844473,705680,352098,161072,7006185
Michigan,2022,3090660,2515849,2641123,1087583,532240,214239,10081694
Minnesota,2022,1817039,1517166,1430184,559016,277263,124260,5724927
Mississippi,2022,969780,748103,740015,298911,148780,53440,2959029
Missouri,2022,1937310,1591827,1558604,635991,328265,135144,6187140
Montana,2022,335597,280002,272601,133261,62475,23729,1107664
Nebraska,2022,675252,506475,462146,188731,93635,43486,1969726
Nevada,2022,955741,882537,791703,318762,157600,47307,3153652
New Hampshire,2022,382959,340901,400817,162221,75148,31214,1393260
New Jersey,2022,2804355,2398744,2510567,900336,470644,210959,9295605
New Mexico,2022,673649,544531,509129,234812,117399,42859,2122378
New York,2022,5873529,5413700,5137988,1970665,1026510,474470,19896863
North Carolina,2022,3282031,2724571,2748576,1092767,539913,195725,10583583
North Dakota,2022,268491,209309,173270,71422,35732,19105,777329
Ohio,2022,3655671,2999324,3039927,1247142,615657,258492,11816213
Oklahoma,2022,1339679,1050421,949389,384183,199513,75704,3998889
Oregon,2022,1226435,1190452,1049012,480841,227561,84901,4259202
Pennsylvania,2022,3808962,3293904,3409848,1426155,730542,334479,13003891
Rhode Island,2022,321728,284490,291819,115183,57614,28142,1098976
South Carolina,2022,1574119,1309054,1341383,596524,290727,94847,5206654
South Dakota,2022,303374,223481,212527,94979,42702,21064,898127
Tennessee,2022,2158010,1839141,1796577,718232,358420,126270,6996651
Texas,2022,10357156,8381073,6957456,2369694,1134094,419199,29618672
Utah,2022,1336871,956138,661496,237367,115580,40780,3348232
Vermont,2022,184732,153006,176106,80701,38081,14928,647554
Virginia,2022,2693778,2299700,2242319,846461,426360,160212,8668829
Washington,2022,2342490,2249270,1903073,770519,359595,137525,7762471
West Virginia,2022,510768,426581,476552,222751,111371,40414,1788437
Wisconsin,2022,1828465,1482078,1540347,629423,305205,128506,5914024
Wyoming,2022,184901,150222,141440,63963,29016,11040,580581
United States,2021,103533741,88477612,83613270,32905981,16631776,6731364,331893745
Alabama,2021,1572318,1271623,1298098,531689,270784,95365,5039877
Alaska,2021,245727,208800,179448,66046,25097,7555,732673
Arizona,2021,2301117,1900458,1724054,773567,427599,149520,7276316
Arkansas,2021,977234,768246,743993,310553,164746,61118,3025891
California,2021,12336291,11246398,9675045,3471830,1751402,756870,39237836
Colorado,2021,1777544,1729991,1422030,547155,243421,91927,5812069
Connecticut,2021,1070768,890109,988624,369451,194654,91990,3605597
Delaware,2021,292159,248248,261365,120871,59718,21023,1003384
District of Columbia,2021,189635,260050,135480,48717,24555,11613,670050
Florida,2021,6003824,5453097,5661550,2553025,1510164,599467,21781128
Georgia,2021,3542420,2909462,2750477,972995,466396,157816,10799566
Hawaii,2021,419851,371200,359295,163776,82814,44617,1441553
Idaho,2021,644087,493583,444245,193850,93450,31708,1900923
Illinois,2021,3935348,3396791,3231560,1222492,616055,269224,12671469
Indiana,2021,2240013,1744418,1697371,664139,327807,132238,6805985
Iowa,2021,1049479,795919,775937,326552,166323,78869,3193079
Kansas,2021,994635,744642,699639,286709,142484,66473,2934582
Kentucky,2021,1423230,1144883,1161948,467459,228523,83351,4509394
Louisiana,2021,1491047,1235267,1134864,457753,221944,83171,4624047
Maine,2021,360007,325898,387453,178420,86259,34210,1372247
Maryland,2021,1891824,1632527,1629665,592431,295251,123432,6165129
Massachusetts,2021,2052775,1878008,1838823,703519,351020,160579,6984723
Michigan,2021,3081193,2508142,2633032,1084251,530610,213582,10050811
Minnesota,2021,1811473,1512518,1425802,557304,276413,123880,5707390
Mississippi,2021,966810,745811,737748,297995,148325,53277,2949965
Missouri,2021,1931375,1586951,1553829,634043,327259,134730,6168187
Montana,2021,334569,279144,271766,132853,62283,23656,1104271
Nebraska,2021,673184,504924,460730,188153,93349,43353,1963692
Nevada,2021,952814,879833,789278,317786,157118,47162,3143991
New Hampshire,2021,381786,339856,399590,161724,74918,31118,1388992
New Jersey,2021,2795764,2391396,2502876,897578,469203,210313,9267130
New Mexico,2021,671585,542863,507569,234093,117039,42727,2115877
New York,2021,5855537,5397116,5122249,1964629,1023366,473016,19835913
North Carolina,2021,3271978,2716225,2740156,1089420,538259,195125,10551162
North Dakota,2021,267668,208668,172739,71203,35623,19046,774948
Ohio,2021,3644473,2990136,3030614,1243322,613771,257700,11780017
Oklahoma,2021,1335575,1047203,946481,383006,198902,75472,3986639
Oregon,2021,1222678,1186805,1045799,479368,226864,84641,4246155
Pennsylvania,2021,3797294,3283814,3399403,1421786,728305,333455,12964056
Rhode Island,2021,320743,283619,290925,114830,57438,28056,1095610
South Carolina,2021,1569298,1305044,1337274,594697,289837,94556,5190705
South Dakota,2021,302445,222796,211876,94688,42571,21000,895376
Tennessee,2021,2151400,1833507,1791074,716032,357322,125883,6975218
Texas,2021,10325429,8355399,6936143,2362435,1130620,417914,29527941
Utah,2021,1332776,953209,659469,236640,115226,40655,3337975
Vermont,2021,184166,152537,175566,80454,37965,14882,645570
Virginia,2021,2685526,2292655,2235450,843868,425053,159722,8642274
Washington,2021,2335314,2242379,1897243,768158,358493,137104,7738692
West Virginia,2021,509203,425274,475092,222069,111030,40291,1782959
Wisconsin,2021,1822864,1477538,1535628,627495,304271,128113,5895908
Wyoming,2021,184334,149762,141007,63767,28927,11006,578803
United States,2020,103411250,88372934,83514347,32867050,16612099,6723400,331501080
Alabama,2020,1567616,1267819,1294216,530098,269974,95080,5024803
Alaska,2020,245649,208734,179391,66026,25089,7553,732441
Arizona,2020,2270021,1874776,1700756,763113,421821,147499,7177986
Arkansas,2020,972823,764778,740635,309151,164002,60842,3012232
California,2020,12418632,11321464,9739624,3495004,1763092,761922,39499738
Colorado,2020,1769054,1721728,1415238,544542,242258,91488,5784308
Connecticut,2020,1069183,888792,987161,368904,194366,91854,3600260
Delaware,2020,288811,245403,258370,119486,59034,20782,991886
District of Columbia,2020,195308,267829,139533,50174,25289,11960,690093
Florida,2020,5945610,5400222,5606654,2528270,1495521,593654,21569932
Georgia,2020,3518223,2889590,2731690,966349,463210,156738,10725800
Hawaii,2020,422868,373867,361877,164952,83409,44937,1451911
Idaho,2020,626078,479782,431824,188430,90837,30821,1847772
Illinois,2020,3970683,3427290,3260576,1233469,621586,271641,12785245
Indiana,2020,2233318,1739204,1692298,662154,326827,131842,6785644
Iowa,2020,1048030,794820,774865,326101,166094,78760,3188669
Kansas,2020,995075,744972,699948,286836,142547,66502,2935880
Kentucky,2020,1421514,1143503,1160548,466895,228247,83250,4503958
Louisiana,2020,1499804,1242522,1141529,460441,223248,83659,4651203
Maine,2020,357393,323531,384639,177124,85632,33962,1362280
Maryland,2020,1894140,1634526,1631661,593157,295612,123583,6172679
Massachusetts,2020,2063795,1888090,1848694,707295,352904,161441,7022220
Michigan,2020,3086359,2512348,2637447,1086069,531500,213940,10067664
Minnesota,2020,1811401,1512459,1425746,557282,276402,123875,5707165
Mississippi,2020,969073,747557,739475,298693,148672,53401,2956870
Missouri,2020,1927084,1583425,1550376,632634,326532,134430,6154481
Montana,2020,329092,274574,267317,130678,61264,23269,1086193
Nebraska,2020,672417,504349,460205,187938,93242,43304,1961455
Nevada,2020,943746,871460,781767,314762,155622,46714,3114071
New Hampshire,2020,378723,337130,396384,160427,74317,30869,1377848
New Jersey,2020,2799570,2394650,2506283,898800,469841,210599,9279743
New Mexico,2020,672122,543296,507974,234280,117133,42761,2117566
New York,2020,5949711,5483918,5204630,1996226,1039825,480624,20154933
North Carolina,2020,3242832,2692030,2715748,1079716,533464,193387,10457177
North Dakota,2020,269055,209749,173634,71572,35808,19145,778962
Ohio,2020,3647743,2992819,3033334,1244437,614322,257932,11790587
Oklahoma,2020,1327331,1040739,940638,380642,197674,75006,3962031
Oregon,2020,1221350,1185516,1044663,478847,226618,84549,4241544
Pennsylvania,2020,3804783,3290291,3406108,1424590,729741,334112,12989625
Rhode Island,2020,320924,283779,291089,114895,57470,28072,1096229
South Carolina,2020,1551165,1289965,1321823,587825,286488,93464,5130729
South Dakota,2020,299649,220737,209918,93813,42177,20805,887099
Tennessee,2020,2134405,1819024,1776925,710376,354500,124889,6920119
Texas,2020,10216927,8267598,6863256,2337610,1118739,413523,29217653
Utah,2020,1310300,937134,648348,232650,113283,39969,3281684
Vermont,2020,183289,151810,174730,80071,37784,14812,642495
Virginia,2020,2682347,2289941,2232804,842869,424550,159533,8632044
Washington,2020,2329307,2236611,1892363,766182,357571,136751,7718785
West Virginia,2020,511156,426906,476915,222921,111455,40445,1789798
Wisconsin,2020,1821756,1476639,1534695,627113,304086,128035,5892323
Wyoming,2020,183845,149364,140633,63598,28850,10977,577267
United States,2019,102886237,86991121,83228939,31471344,15965924,6599467,327143032
Alabama,2019,1535567,1233593,1273192,502435,257058,92027,4893872
Alaska,2019,241717,202749,178151,61311,23082,7160,714170
Arizona,2019,2330583,1894686,1731159,754314,413731,147743,7272216
Arkansas,2019,978951,765229,747567,302700,160836,60444,3015727
California,2019,12483736,11237500,9740901,3373157,1697234,749009,39281537
Colorado,2019,1771806,1690339,1416883,522542,230981,90002,5722553
Connecticut,2019,1066957,871385,990065,353326,186434,90945,3559112
Delaware,2019,286076,240922,256797,113150,56118,20187,973250
District of Columbia,2019,199858,272035,144523,50658,25273,12201,704548
Florida,2019,5958317,5367877,5604842,2457078,1451846,585172,21425132
Georgia,2019,3495754,2845111,2705105,926705,441139,151351,10565165
Hawaii,2019,402530,354055,344731,151939,74848,42227,1370330
Idaho,2019,612205,462390,419958,176328,85020,29621,1785522
Illinois,2019,3959004,3384831,3253423,1175529,600249,266484,12639520
Indiana,2019,2228040,1718470,1697747,636182,317039,130692,6728170
Iowa,2019,1042949,784655,777978,311336,162422,78454,3157794
Kansas,2019,986087,731045,697851,272274,137140,65502,2889899
Kentucky,2019,1413434,1130842,1160703,447847,220444,82050,4455320
Louisiana,2019,1505483,1241222,1153554,443154,216711,82235,4642359
Maine,2019,356370,316610,386220,169149,82347,33705,1344401
Maryland,2019,1858365,1590750,1610032,562206,278904,119141,6019398
Massachusetts,2019,2045266,1840826,1836094,672886,336369,158509,6889950
Michigan,2019,3089145,2475402,2653348,1037854,513780,211557,9981086
Minnesota,2019,1800608,1488429,1429568,531127,266010,122175,5637917
Mississippi,2019,978736,751444,746846,288769,145320,52409,2963524
Missouri,2019,1927279,1570836,1561762,609812,318149,133723,6121561
Montana,2019,325520,267332,267850,124312,58592,22956,1066562
Nebraska,2019,663248,494135,457327,178169,90197,42889,1925965
Nevada,2019,943840,859950,778471,303893,148730,45059,3079943
New Hampshire,2019,379475,328915,397571,152413,70793,30308,1359475
New Jersey,2019,2695678,2286044,2424029,834649,439345,202189,8881934
New Mexico,2019,670029,532588,507571,224638,111761,41392,2087979
New York,2019,5781521,5286606,5068949,1863650,977139,460326,19438191
North Carolina,2019,3254358,2674533,2722746,1046968,515722,189574,10403901
North Dakota,2019,261352,203464,171707,66831,34288,18909,756551
Ohio,2019,3640911,2950889,3051945,1189066,600175,254761,11687747
Oklahoma,2019,1325927,1032681,946126,368854,193122,74223,3940933
Oregon,2019,1227447,1172622,1049074,463361,216542,84491,4213537
Pennsylvania,2019,3772731,3218004,3407599,1354841,708002,331328,12792505
Rhode Island,2019,311872,270467,284231,106373,53477,27307,1053727
South Carolina,2019,1559828,1288126,1329649,571114,275721,91539,5115977
South Dakota,2019,299958,219753,212159,89385,41507,20902,883664
Tennessee,2019,2116451,1785693,1763949,681625,340269,121987,6809974
Texas,2019,10174667,8158891,6812385,2243843,1077556,405114,28872456
Utah,2019,1291068,912074,630445,219027,107510,38423,3198547
Vermont,2019,180053,145666,173130,75143,35184,14298,623474
Virginia,2019,2638303,2235909,2207504,803238,402315,154126,8441395
Washington,2019,2303372,2171222,1881439,732701,338977,134142,7561853
West Virginia,2019,514764,428355,483549,217454,109578,40592,1794292
Wisconsin,2019,1814261,1454286,1537896,594907,293185,126864,5821399
Wyoming,2019,184780,149683,142638,61121,27753,11043,577018
United States,2018,103344198,86224144,83728331,30445006,15371573,6538026,325651278
Alabama,2018,1541905,1227815,1280835,487561,248759,90660,4877535
Alaska,2018,245966,202189,181952,58537,21669,6877,717190
Arizona,2018,2319154,1853857,1712537,725734,390052,143267,7144601
Arkansas,2018,982740,761631,751931,295168,155713,59719,3006902
California,2018,12637404,11192100,9806014,3270031,1637801,738024,39281374
Colorado,2018,1776456,1657222,1419257,500634,219252,88400,5661221
Connecticut,2018,1079964,866197,1006479,343916,179889,91204,3567649
Delaware,2018,286436,237820,257666,108431,53238,19978,963569
District of Columbia,2018,200285,268018,146168,49437,24468,12066,700442
Florida,2018,5955538,5303535,5584082,2383336,1388388,573121,21188000
Georgia,2018,3489594,2811707,2694142,895237,418801,147053,10456534
Hawaii,2018,408472,356507,350697,149036,71166,41942,1377820
Idaho,2018,606667,450237,414544,167997,80010,29081,1748536
Illinois,2018,4015376,3393759,3298742,1140618,582966,265725,12697186
Indiana,2018,2231488,1700602,1711828,614493,306796,130434,6695641
Iowa,2018,1046183,776025,787912,300251,158922,78805,3148098
Kansas,2018,993939,728333,707192,262396,132719,65433,2890012
Kentucky,2018,1418782,1126820,1172291,434623,213636,81098,4447250
Louisiana,2018,1518630,1241454,1169599,428194,209481,81169,4648527
Maine,2018,358419,312105,391863,163482,79186,33699,1338754
Maryland,2018,1865112,1582754,1627222,545679,267653,118177,6006597
Massachusetts,2018,2062491,1824274,1857607,652346,325075,158997,6880790
Michigan,2018,3123625,2454861,2692653,1004138,496420,211880,9983577
Minnesota,2018,1802699,1469731,1445456,510468,256804,121468,5606626
Mississippi,2018,989287,752197,753855,279946,140849,52040,2968174
Missouri,2018,1935490,1559447,1579836,591540,308389,132369,6107071
