state	mortality2020_40_52	mortality2021_40_52	delta
Alabama	570.1555661192369	508.5595937085508	-61.59597241068616
Alaska	422.8929059448424	506.09630978356654	83.20340383872411
Arizona	452.1611153582602	495.0521799021306	42.891064543870414
Arkansas	617.1578529725506	539.0826177951602	-78.07523517739037
California	409.45627860996683	375.76446555624335	-33.69181305372348
Colorado	465.33596504183674	472.75709297237535	7.421127930538603
Connecticut	416.14815558799324	383.47369101134484	-32.674464576648404
Delaware	449.9839747692506	457.0058602454334	7.021885476182774
District of Columbia	513.9228263902253	516.72617740835	2.803351018124772
Florida	384.71762538732685	381.39658068692336	-3.3210447004034904
Georgia	496.71969178643775	470.72987564274126	-25.989816143696487
Hawaii	284.6718997145265	312.0021645383686	27.33026482384213
Idaho	493.7795870156264	521.425500799407	27.6459137837806
Illinois	491.77827629338447	439.981847008473	-51.79642928491148
Indiana	602.1314458647671	562.4340915122177	-39.69735435254938
Iowa	561.7186214587063	491.45746812563925	-70.261153333067
Kansas	560.2667356361482	484.1786250907567	-76.08811054539143
Kentucky	617.7438382738426	584.1724816592473	-33.57135661459529
Louisiana	528.4463754462035	478.26448854205296	-50.18188690415059
Maine	427.64981109734157	519.1478469149663	91.49803581762473
Maryland	436.39396384510576	416.5008452068111	-19.893118638294652
Massachusetts	385.1647603419529	404.46873787138014	19.303977529427243
Michigan	522.1786864928623	550.2745572209574	28.095870728095065
Minnesota	465.1930806972019	451.6978878067976	-13.495192890404269
Mississippi	613.4955625546113	541.9620940181177	-71.53346853649361
Missouri	612.3907843816937	508.14501484046207	-104.24576954123165
Montana	556.6464956464432	525.7425547339847	-30.903940912458552
Nebraska	547.6100156562978	479.1599308168437	-68.45008483945412
Nevada	520.1895784136647	502.58069056641426	-17.6088878472504
New Hampshire	410.87471900188257	441.51084388773756	30.636124885854997
New Jersey	389.23138243864287	380.6871261176972	-8.544256320945692
New Mexico	537.210431401857	517.1662205607698	-20.044210841087192
New York	356.7303734137574	376.59483286292493	19.864459449167555
North Carolina	491.50594546275477	348.76025482545566	-142.7456906372991
North Dakota	660.5003337365908	385.70081522211854	-274.7995185144723
Ohio	594.6191825319306	588.7215821329177	-5.897600399012958
Oklahoma	637.1611275890641	532.4441287180766	-104.71699887098748
Oregon	430.4524593511027	466.36806384473533	35.91560449363266
Pennsylvania	516.2179447831502	506.5403271291325	-9.677617654017695
Rhode Island	457.48553121597837	423.9690675208928	-33.51646369508558
South Carolina	509.0846110999313	462.80039957034734	-46.284211529583956
South Dakota	656.7701936982542	478.03513195768	-178.73506174057417
Tennessee	637.9861018586972	580.2953309884202	-57.69077087027699
Texas	515.1969874118075	454.9826022895939	-60.21438512221363
United States	477.3714295276029	451.8920342635231	-25.479395264079812
Utah	480.437599658842	475.0617551418384	-5.3758445170036
Vermont	366.0231891680817	417.6335009007586	51.610311732676905
Virginia	437.533197379543	451.46475543973116	13.931558060188138
Washington	400.30575674853645	426.98850508843105	26.6827483398946
Wisconsin	548.1461034557083	495.89301829720057	-52.2530851585077
Wyoming	484.41810243806515	502.1757305814723	17.757628143407146
