year_week	year	week	excess_ttl
2020_01	2020	1	-0.04836443922538425
2020_02	2020	2	-0.0636284384209718
2020_03	2020	3	-0.023056340875034338
2020_04	2020	4	-0.05771913905741284
2020_05	2020	5	-0.03883823148521888
2020_06	2020	6	-0.031130948745151217
2020_07	2020	7	-0.012805968789781205
2020_08	2020	8	-0.009618363658623402
2020_09	2020	9	0.045399709742831876
2020_10	2020	10	-0.005905944754192204
2020_11	2020	11	-0.011334184846316457
2020_12	2020	12	0.0034381740565896275
2020_13	2020	13	-0.03784973198417729
2020_14	2020	14	0.08071274692423161
2020_15	2020	15	0.03784451095724461
2020_16	2020	16	0.10904587362284048
2020_17	2020	17	0.17317702889689665
2020_18	2020	18	0.11015856320920003
2020_19	2020	19	0.14852507893107963
2020_20	2020	20	0.11298601787991847
2020_21	2020	21	0.059628744998563236
2020_22	2020	22	0.09179703885037427
2020_23	2020	23	0.010351913972311234
2020_24	2020	24	-0.026071802853949617
2020_25	2020	25	0.026899928119746078
2020_26	2020	26	0.03346313738422525
2020_27	2020	27	0.0006272673773675051
2020_28	2020	28	-0.007129729042209625
2020_29	2020	29	-0.020284326269623107
2020_30	2020	30	-0.0033300224200521955
2020_31	2020	31	0.035554376122809
2020_32	2020	32	0.01031136354919702
2020_33	2020	33	0.015921667112721787
2020_34	2020	34	0.030258952889487205
2020_35	2020	35	0.025402941655324845
2020_36	2020	36	-0.005672706496839635
2020_37	2020	37	0.03564559180033089
2020_38	2020	38	-0.02320112184365969
2020_39	2020	39	0.02792691270079926
2020_40	2020	40	0.019669075310321013
2020_41	2020	41	0.0009078546024322512
2020_42	2020	42	0.019712586321051655
2020_43	2020	43	0.035607650315792
2020_44	2020	44	0.003081309415841322
2020_45	2020	45	0.008680423634592278
2020_46	2020	46	0.03502996632255554
2020_47	2020	47	0.07253927234520481
2020_48	2020	48	0.0834148303121543
2020_49	2020	49	0.06945028961078621
2020_50	2020	50	0.10549951704443844
2020_51	2020	51	0.13716827702949735
2020_52	2020	52	0.1332236668900616
2021_01	2021	1	0.01346490378349677
2021_02	2021	2	0.05143359260476528
2021_03	2021	3	0.04592482951348031
2021_04	2021	4	-0.01961641669114048
2021_05	2021	5	0.02896915850522794
2021_06	2021	6	-0.009149120608949473
2021_07	2021	7	0.028631061025893814
2021_08	2021	8	0.016111892539344384
2021_09	2021	9	-0.0034145460882722455
2021_10	2021	10	-0.006058148058748248
2021_11	2021	11	-0.009732113259934554
2021_12	2021	12	-0.0593245798341251
2021_13	2021	13	-0.06295243811743839
2021_14	2021	14	-0.04420417020692482
2021_15	2021	15	-0.038131438711225284
2021_16	2021	16	-0.029210004661292106
2021_17	2021	17	-0.022623285876034457
2021_18	2021	18	-0.042271986857071536
2021_19	2021	19	0.0092197154410004
2021_20	2021	20	0.0003814729312252258
2021_21	2021	21	-0.048700831257153104
2021_22	2021	22	-0.0320260387124058
2021_23	2021	23	-0.051136413264922714
2021_24	2021	24	-0.07274630727725888
2021_25	2021	25	0.012174555418267112
2021_26	2021	26	0.015606621988934673
2021_27	2021	27	-0.010108369445068358
2021_28	2021	28	-0.015295815051681361
2021_29	2021	29	0.01689822105075152
2021_30	2021	30	0.0017136758234631707
2021_31	2021	31	0.05947173076433297
2021_32	2021	32	0.037320264094733636
2021_33	2021	33	0.049193083747226474
2021_34	2021	34	0.03057468968561649
2021_35	2021	35	0.0625161871115126
2021_36	2021	36	0.008619237922809367
2021_37	2021	37	0.07403607655266112
2021_38	2021	38	0.08506705805673496
2021_39	2021	39	0.036578210094423136
2021_40	2021	40	-0.007904424614727967
2021_41	2021	41	0.006612960002277798
2021_42	2021	42	0.068864776504151
2021_43	2021	43	0.0654676602234623
2021_44	2021	44	0.02578146814599168
2021_45	2021	45	0.03480948297189816
2021_46	2021	46	-0.008461828671078298
2021_47	2021	47	0.054278545366901104
2021_48	2021	48	0.07098747250507514
2021_49	2021	49	0.04224952323632126
2021_50	2021	50	0.036582920980735165
2021_51	2021	51	-0.008199553375030463
2021_52	2021	52	0.044422081266629436
2022_01	2022	1	0.01331429478761657
2022_02	2022	2	0.03416823553349195
2022_03	2022	3	0.0657353792363544
2022_04	2022	4	0.023336639535604116
2022_05	2022	5	0.03545950030529156
2022_06	2022	6	0.003427680786190416
2022_07	2022	7	-0.005110714439569472
2022_08	2022	8	-0.004350858776184295
2022_09	2022	9	0.0017089200175110098
2022_10	2022	10	-0.02836527003526844
2022_11	2022	11	-0.004663589788058867
2022_12	2022	12	-0.01669205896005655
2022_13	2022	13	-0.022014665036133578
2022_14	2022	14	-0.0180215607236457
2022_15	2022	15	-0.015833133675090674
2022_16	2022	16	-0.006633849403377686
2022_17	2022	17	-0.011923428426599278
2022_18	2022	18	0.001615430816691921
2022_19	2022	19	0.023182074939529906
2022_20	2022	20	0.0044223212461245625
2022_21	2022	21	0.008461533802410128
2022_22	2022	22	0.027837315984463786
2022_23	2022	23	0.009812199972279017
2022_24	2022	24	-0.0012584126867635182
2022_25	2022	25	0.004459338791244898
