state	mortality2020_40_52	mortality2021_40_52	delta
Alabama	573.6519506131779	541.168684669392	-32.48326594378591
Alaska	370.62012545229925	453.93529606278184	83.3151706104826
Arizona	471.6900251398725	486.57546595659767	14.885440816725179
Arkansas	574.9083026206142	558.4749231006504	-16.433379519963864
California	426.6345186199346	380.4345160531407	-46.2000025667939
Colorado	409.98761232254355	444.805023868062	34.81741154551844
Connecticut	382.9222309438954	408.07741965833185	25.155188714436463
Delaware	425.88720623822826	461.96659686788087	36.07939062965261
District of Columbia	532.1888086552083	538.8758355618339	6.687026906625647
Florida	396.5177545491561	403.1123606731928	6.594606124036716
Georgia	505.53797209948783	489.8499857041777	-15.687986395310134
Hawaii	270.3167838549126	306.1587327193641	35.84194886445147
Idaho	411.4728497811803	456.5488454285143	45.075995647334025
Illinois	432.4979178987077	433.3747012757998	0.8767833770920674
Indiana	535.8492954485753	542.9655773607678	7.116281912192562
Iowa	452.1859060947079	454.3675934621445	2.1816873674366093
Kansas	484.19016982787656	485.41384331807694	1.2236734902003832
Kentucky	579.1642827030392	593.4405518714227	14.276269168383465
Louisiana	549.2621296665467	523.8282202058654	-25.43390946068132
Maine	395.0447256790288	471.83840656652393	76.79368088749516
Maryland	424.04872148664913	418.82621450247706	-5.222506984172071
Massachusetts	373.6275733161562	388.62051603103583	14.992942714879632
Michigan	464.85428991071996	510.3721638428495	45.51787393212953
Minnesota	389.45569372792477	413.02673404998393	23.57104032205916
Mississippi	611.8489303274949	578.2748074524135	-33.57412287508146
Missouri	542.6927066840713	524.6106000028999	-18.082106681171354
Montana	445.7173523974538	473.1497382259551	27.43238582850131
Nebraska	441.5256650709	444.2944937743187	2.7688287034187056
Nevada	498.0759505877776	504.9546828538294	6.878732266051827
New Hampshire	361.1551803703542	408.1590700224781	47.00388965212392
New Jersey	384.92016745898593	380.8289350968405	-4.091232362145433
New Mexico	502.34072731811193	529.8084271354019	27.46769981728994
New York	370.65592647747565	370.81312719268067	0.15720071520502188
North Carolina	488.888838193852	475.43468505811336	-13.454153135738636
North Dakota	488.38709572707666	476.7278993678582	-11.65919635921847
Ohio	534.7523155303332	557.041354356189	22.289038825855755
Oklahoma	585.0560516217711	566.65933536389	-18.396716257881053
Oregon	402.56965242099056	445.43104386139134	42.86139144040078
Pennsylvania	476.49008906091535	484.72665134754897	8.236562286633614
Rhode Island	405.6709895941011	407.6787786171782	2.0077890230770663
South Carolina	516.9519691893738	488.18961274578254	-28.762356443591273
South Dakota	492.062033234737	446.81078266738115	-45.25125056735584
Tennessee	602.9347313970948	597.8788039909123	-5.055927406182491
Texas	503.8662097340261	468.7543989592185	-35.111810774807566
United States	457.12758703574514	455.62799077347097	-1.4995962622741672
Utah	421.78142401341296	443.0520421121364	21.270618098723446
Vermont	333.66022604341885	386.8238449439153	53.16361890049643
Virginia	431.64520236707233	449.19141263683883	17.546210269766505
Washington	373.4731871966175	412.2832302266888	38.810043030071256
West Virginia	581.0033314335742	637.6693470575143	56.6660156239401
Wisconsin	449.06410826607566	462.47006250129374	13.405954235218076
Wyoming	396.77198715672023	429.46947488797116	32.69748773125093
