state	year	year_quarter	mortality
United States	2015	2015/1	247.38483453570652
United States	2015	2015/2	219.64160378894508
United States	2015	2015/3	211.86927353243956
United States	2015	2015/4	224.72264243588393
United States	2016	2016/1	235.94267282812388
United States	2016	2016/2	217.52701030896768
United States	2016	2016/3	211.82552995001222
United States	2016	2016/4	228.77743211903777
United States	2017	2017/1	243.4000409642746
United States	2017	2017/2	218.614015665251
United States	2017	2017/3	211.18934532734477
United States	2017	2017/4	229.12189934663306
United States	2018	2018/1	246.7303856351664
United States	2018	2018/2	215.25103050873432
United States	2018	2018/3	208.54632812359358
United States	2018	2018/4	223.44665514652172
United States	2019	2019/1	233.70555661395255
United States	2019	2019/2	216.45455902334143
United States	2019	2019/3	208.3841272779525
United States	2019	2019/4	223.97275103781539
United States	2020	2020/1	233.90572369266445
United States	2020	2020/2	258.6546626681991
United States	2020	2020/3	242.75034034598247
United States	2020	2020/4	276.314031973221
United States	2021	2021/1	279.3535623878661
United States	2021	2021/2	229.0377602627009
United States	2021	2021/3	262.2040978807841
United States	2021	2021/4	271.53690407753845
United States	2022	2022/1	281.9683722443188
United States	2022	2022/2	106.82389849229145
