year_week	year	week	excess_ttl
2020_01	2020	1	0.020830337980088705
2020_02	2020	2	-0.02918345179771048
2020_03	2020	3	0.0066780097042768325
2020_04	2020	4	-0.011101273947577558
2020_05	2020	5	-0.012873336223662704
2020_06	2020	6	-0.00840121020703385
2020_07	2020	7	-0.022501672214665324
2020_08	2020	8	0.001983653503060352
2020_09	2020	9	0.004362499427889014
2020_10	2020	10	-0.004027039617571951
2020_11	2020	11	-0.0011354902458706568
2020_12	2020	12	-0.009225048964091976
2020_13	2020	13	-0.009233583179351128
2020_14	2020	14	0.020398406585611487
2020_15	2020	15	0.020437296126955162
2020_16	2020	16	-0.0038287687504926426
2020_17	2020	17	0.03152690221972774
2020_18	2020	18	-0.01052528617268467
2020_19	2020	19	0.008572276222814035
2020_20	2020	20	0.021149266738991625
2020_21	2020	21	0.014001179619817472
2020_22	2020	22	0.021764318569695514
2020_23	2020	23	0.0067151910485191545
2020_24	2020	24	0.027605601397772385
2020_25	2020	25	0.025084957396968567
2020_26	2020	26	0.029342201660047855
2020_27	2020	27	0.01224099636662795
2020_28	2020	28	0.03487812066300892
2020_29	2020	29	0.046231250865867
2020_30	2020	30	0.045598972140427955
2020_31	2020	31	0.06518578551863907
2020_32	2020	32	0.09126497598000342
2020_33	2020	33	0.052878887022909105
2020_34	2020	34	0.06255344339716876
2020_35	2020	35	0.046986711390535126
2020_36	2020	36	0.08584939626547199
2020_37	2020	37	0.05421873569059443
2020_38	2020	38	0.055006031403341996
2020_39	2020	39	0.07511730953363947
2020_40	2020	40	0.068256483335316
2020_41	2020	41	0.11138361802543152
2020_42	2020	42	0.08234332570899087
2020_43	2020	43	0.11884845299590835
2020_44	2020	44	0.14332774001233925
2020_45	2020	45	0.20453431126109614
2020_46	2020	46	0.1905287661833479
2020_47	2020	47	0.20496301748950146
2020_48	2020	48	0.1851518874915648
2020_49	2020	49	0.18324334913809898
2020_50	2020	50	0.18538629770716372
2020_51	2020	51	0.1455446184285092
2020_52	2020	52	0.14918239344018308
2021_01	2021	1	0.09166531327505607
2021_02	2021	2	0.07555537720048552
2021_03	2021	3	0.0549071993721932
2021_04	2021	4	0.05918274925235949
2021_05	2021	5	0.040245518231689474
2021_06	2021	6	0.0238407701291528
2021_07	2021	7	0.009087546616758225
2021_08	2021	8	0.027243453193119604
2021_09	2021	9	0.009787165227313741
2021_10	2021	10	-0.0048831738605623004
2021_11	2021	11	-0.0018968137928331418
2021_12	2021	12	0.007511469525330057
2021_13	2021	13	-0.0028839015688156065
2021_14	2021	14	-0.0030427991286647023
2021_15	2021	15	0.007158946990296015
2021_16	2021	16	-0.003179760867634374
2021_17	2021	17	0.04740444177805244
2021_18	2021	18	0.013456223714477585
2021_19	2021	19	0.010208836041483952
2021_20	2021	20	0.029161526441057694
2021_21	2021	21	0.033592516944315004
2021_22	2021	22	0.029079377655604085
2021_23	2021	23	0.027755214268598047
2021_24	2021	24	0.05575242944702182
2021_25	2021	25	0.020074363920730916
2021_26	2021	26	0.04761879573143324
2021_27	2021	27	0.011547134093199667
2021_28	2021	28	0.03645355730411436
2021_29	2021	29	0.05202157275818985
2021_30	2021	30	0.07317191476299606
2021_31	2021	31	0.11319841758957803
2021_32	2021	32	0.12403610438743999
2021_33	2021	33	0.1316068543941679
2021_34	2021	34	0.12397431518933197
2021_35	2021	35	0.16051306786632105
2021_36	2021	36	0.16071435406209647
2021_37	2021	37	0.15817313933766794
2021_38	2021	38	0.19783486372928796
2021_39	2021	39	0.20616621428876541
2021_40	2021	40	0.17434065229885115
2021_41	2021	41	0.18098728571334738
2021_42	2021	42	0.1740719014082571
2021_43	2021	43	0.176807226430465
2021_44	2021	44	0.1765282410590162
2021_45	2021	45	0.12544240285109315
2021_46	2021	46	0.13076892552983746
2021_47	2021	47	0.1264091493545091
2021_48	2021	48	0.11018123668343831
2021_49	2021	49	0.13052469418515814
2021_50	2021	50	0.09211733145629897
2021_51	2021	51	0.0893763122944745
2021_52	2021	52	0.09074756461416258
2022_01	2022	1	0.03765587762022022
2022_02	2022	2	0.03931807922054309
2022_03	2022	3	0.03960085568080704
2022_04	2022	4	0.0498423951798656
2022_05	2022	5	0.04949625681400841
2022_06	2022	6	0.04068455406296873
2022_07	2022	7	0.03614017269630025
2022_08	2022	8	0.020193349122198324
2022_09	2022	9	0.018280643567534706
2022_10	2022	10	0.006670520256151057
2022_11	2022	11	0.008431809763677921
2022_12	2022	12	0.0023451488827182848
2022_13	2022	13	0.0006802419343910793
2022_14	2022	14	0.0009745301735673294
2022_15	2022	15	-0.0020938309089274646
2022_16	2022	16	-0.005574117810805148
2022_17	2022	17	-0.011094594345243758
2022_18	2022	18	-0.018866959467234986
2022_19	2022	19	-0.04181312922989716
