year_week	year	week	excess_ttl
2020_01	2020	1	0.022729446567195836
2020_02	2020	2	-0.0021572180806175207
2020_03	2020	3	-0.00337586152550628
2020_04	2020	4	-0.0016528048771614822
2020_05	2020	5	-0.0013257819706636008
2020_06	2020	6	0.0016830870180515709
2020_07	2020	7	-0.10896383162955582
2020_08	2020	8	0.024947109397434965
2020_09	2020	9	0.001058857842001533
2020_10	2020	10	-0.033565334458132784
2020_11	2020	11	-0.01509433566532555
2020_12	2020	12	-0.06209742413396942
2020_13	2020	13	0.006432976349725733
2020_14	2020	14	-0.0025593423433154733
2020_15	2020	15	0.030282845518842756
2020_16	2020	16	-0.0692374666487673
2020_17	2020	17	0.026096758287854682
2020_18	2020	18	-0.01124443573029532
2020_19	2020	19	-0.014010989599894046
2020_20	2020	20	-0.0014076315743176365
2020_21	2020	21	0.07491470515535985
2020_22	2020	22	0.016484279806378524
2020_23	2020	23	-0.01777661530668215
2020_24	2020	24	-0.011693113385761017
2020_25	2020	25	0.04731457811289617
2020_26	2020	26	0.02100270586356006
2020_27	2020	27	0.021224000406463536
2020_28	2020	28	-0.009980637480774556
2020_29	2020	29	0.03124693205107011
2020_30	2020	30	-0.054243061858611864
2020_31	2020	31	0.05320148827150681
2020_32	2020	32	0.1510826813295025
2020_33	2020	33	0.030966038879399617
2020_34	2020	34	0.06366702600290637
2020_35	2020	35	0.032503264157675744
2020_36	2020	36	0.03949267682804962
2020_37	2020	37	0.14240477306374702
2020_38	2020	38	0.05636551643190344
2020_39	2020	39	0.0853597216579465
2020_40	2020	40	0.03894674466007287
2020_41	2020	41	0.12003771164809147
2020_42	2020	42	0.04476307450220231
2020_43	2020	43	0.13413902400928468
2020_44	2020	44	0.11134966396744474
2020_45	2020	45	0.18552006058126405
2020_46	2020	46	0.23665554427127433
2020_47	2020	47	0.22114685126881675
2020_48	2020	48	0.21231341830287237
2020_49	2020	49	0.24556281553438836
2020_50	2020	50	0.17274000464866615
2020_51	2020	51	0.08993291848986487
2020_52	2020	52	0.08427050871069285
2021_01	2021	1	0.08154563250440816
2021_02	2021	2	0.09380462882642901
2021_03	2021	3	0.019651706390785784
2021_04	2021	4	0.0059343841762370345
2021_05	2021	5	-0.09159060403712695
2021_06	2021	6	0.00933660385926048
2021_07	2021	7	-0.01679129499698678
2021_08	2021	8	-0.013880747075772878
2021_09	2021	9	-0.011149336920649712
2021_10	2021	10	-0.01726572312015934
2021_11	2021	11	-0.041713640815632634
2021_12	2021	12	-0.05362381546255077
2021_13	2021	13	-0.0025631945092796887
2021_14	2021	14	-0.009581088713214763
2021_15	2021	15	-0.05849860368979621
2021_16	2021	16	-0.10805169189854266
2021_17	2021	17	-0.05287656488392974
2021_18	2021	18	-0.09496243137278258
2021_19	2021	19	-0.0020821719970724193
2021_20	2021	20	-0.015049001557926711
2021_21	2021	21	0.018528425801230163
2021_22	2021	22	-0.05385451504672338
2021_23	2021	23	0.11093011945566651
2021_24	2021	24	0.012203848914025662
2021_25	2021	25	0.037443131683711
2021_26	2021	26	0.03982687609998854
2021_27	2021	27	0.009385686297435369
2021_28	2021	28	0.023876861386864297
2021_29	2021	29	0.011553964826706276
2021_30	2021	30	0.07536875069123539
2021_31	2021	31	0.008943810659448588
2021_32	2021	32	0.16284350682990853
2021_33	2021	33	0.06355416235375268
2021_34	2021	34	0.07851925496493624
2021_35	2021	35	0.14768568954475256
2021_36	2021	36	0.03797912424767919
2021_37	2021	37	0.1462831344158733
2021_38	2021	38	0.17301929313517864
2021_39	2021	39	0.11650473216915926
2021_40	2021	40	-0.0171658128691455
2021_41	2021	41	0.1651294459554066
2021_42	2021	42	0.13367309981248826
2021_43	2021	43	0.12230029543707659
2021_44	2021	44	0.09022002019766415
2021_45	2021	45	0.061197520161041886
2021_46	2021	46	0.08025398294020791
2021_47	2021	47	0.019212644056365545
2021_48	2021	48	0.07641606842005806
2021_49	2021	49	0.08245629385023936
2021_50	2021	50	0.008753492270852231
2021_51	2021	51	0.025784982748370072
2021_52	2021	52	0.027364174219051924
2022_01	2022	1	0.00724526913953752
2022_02	2022	2	0.0064738751633977645
2022_03	2022	3	0.011343429096256828
2022_04	2022	4	0.014163028244986936
2022_05	2022	5	0.015069360464252644
2022_06	2022	6	0.022068960023159417
2022_07	2022	7	0.039037960068145
2022_08	2022	8	-0.005631720340762593
2022_09	2022	9	0.0012969758006346767
2022_10	2022	10	-0.004579210406157464
2022_11	2022	11	0.0002535488922706224
2022_12	2022	12	-0.014322408435539774
2022_13	2022	13	0.011531797253584698
2022_14	2022	14	-0.04124940436204871
